Term,Flight No,Operator,From,Airport name,Scheduled,Estimated,Touchdown,Est Chocks,Act Chocks,Stand,Max pax,Act Pax,Conn pax
3,DL28,Delta Air Lines,ATL,Atlanta,07:45 22/10/2016,07:09 22/10/2016,,,,,211,160,3
5,IB3170,Iberia,MAD,Madrid,07:25 22/10/2016,07:09 22/10/2016,,07:17 22/10/2016,,,130,99,10
5,BA723,British Airways,GVA,Geneva,07:15 22/10/2016,07:11 22/10/2016,,07:19 22/10/2016,,,127,129,64
2,LH2470,Lufthansa,MUC,Munich,07:10 22/10/2016,07:12 22/10/2016,,07:20 22/10/2016,,,162,43,4
5,BA811,British Airways,CPH,Copenhagen,07:30 22/10/2016,07:13 22/10/2016,,07:21 22/10/2016,,,148,60,45
5,BA341,British Airways,NCE,Nice,07:30 22/10/2016,07:15 22/10/2016,,07:23 22/10/2016,,,150,122,82
2,LX352,Swiss,GVA,Geneva,07:15 22/10/2016,07:15 22/10/2016,,,,,,,
5,BA947,British Airways,MUC,Munich,07:40 22/10/2016,07:16 22/10/2016,,,,,137,113,42
2,OS451,Austrian,VIE,Vienna,07:20 22/10/2016,07:16 22/10/2016,,07:24 22/10/2016,,,200,140,6
5,BA599,British Airways,VCE,Venice,07:40 22/10/2016,07:19 22/10/2016,,,,,177,124,94
5,BA561,British Airways,LIN,Milan (Linate),07:35 22/10/2016,07:21 22/10/2016,,,,,152,131,51
4,EY011,Etihad Airways,AUH,Abu Dhabi,06:35 22/10/2016,07:21 22/10/2016,,,,,496,399,5
2,AC848,Air Canada,YYZ,Toronto,07:35 22/10/2016,07:23 22/10/2016,,,,241,211,204,29
2,4U2462,Germanwings,STR,Stuttgart,07:25 22/10/2016,07:25 22/10/2016,,,,,,,8
3,BA477,British Airways,BCN,Barcelona,07:30 22/10/2016,07:32 22/10/2016,,,,,156,100,62
5,BA331,British Airways,ORY,Paris (Orly),07:35 22/10/2016,07:35 22/10/2016,,,,,168,,
3,BA795,British Airways,HEL,Helsinki,08:00 22/10/2016,07:40 22/10/2016,,,,,160,133,72
2,LH900,Lufthansa,FRA,Frankfurt,07:40 22/10/2016,07:40 22/10/2016,,,,,200,,
3,VS012,Virgin Atlantic Airways,BOS,Boston,08:10 22/10/2016,07:44 22/10/2016,,,,,264,244,15
2,EI710,Aer Lingus,ORK,Cork,07:45 22/10/2016,07:45 22/10/2016,,,,,,,
5,BA192,British Airways,DFW,Dallas/Ft Worth,08:05 22/10/2016,07:49 22/10/2016,,,,,297,265,126
5,BA214,British Airways,BOS,Boston,08:00 22/10/2016,07:51 22/10/2016,,,,,226,214,80
5,BA761,British Airways,OSL,Oslo,08:25 22/10/2016,07:51 22/10/2016,,,,,143,,
5,BA771,British Airways,ARN,Stockholm,08:30 22/10/2016,07:52 22/10/2016,,,,,143,,
5,BA571,British Airways,FCO,Rome,08:05 22/10/2016,07:54 22/10/2016,,,,,162,101,43
3,BA699,British Airways,VIE,Vienna,08:15 22/10/2016,07:56 22/10/2016,,,,,168,,
2,4U460,Germanwings,CGN,Cologne,08:00 22/10/2016,08:00 22/10/2016,,,,,,,
3,AA728,American Airlines,PHL,Philadelphia,08:00 22/10/2016,08:00 22/10/2016,,,,,291,249,78
5,BA188,British Airways,EWR,Newark,08:20 22/10/2016,08:02 22/10/2016,,,,,216,213,111
3,DL402,Delta Air Lines,JFK,New York,07:45 22/10/2016,08:02 22/10/2016,,,,,211,181,1
3,AA732,American Airlines,CLT,Charlotte,08:15 22/10/2016,08:05 22/10/2016,,,,,291,205,
2,EI154,Aer Lingus,DUB,Dublin,08:05 22/10/2016,08:05 22/10/2016,,,,,,,
2,AC850,Air Canada,YYC,Calgary,08:35 22/10/2016,08:08 22/10/2016,,,,,251,192,16
3,AY831,Finnair,HEL,Helsinki,08:10 22/10/2016,08:10 22/10/2016,,,,,189,159,59
5,BA831,British Airways,DUB,Dublin,08:10 22/10/2016,08:10 22/10/2016,,,,,143,,
5,BA114,British Airways,JFK,New York,08:35 22/10/2016,08:14 22/10/2016,,,,,226,216,68
5,BA190,British Airways,AUS,Austin,08:25 22/10/2016,08:15 22/10/2016,,,,,216,211,104
3,VS010,Virgin Atlantic Airways,JFK,New York,08:30 22/10/2016,08:17 22/10/2016,,,,,308,303,0
4,SU2572,Aeroflot Russian Airlines,SVO,Moscow,08:45 22/10/2016,08:19 22/10/2016,,,,,170,88,6
2,SK803,SAS,OSL,Oslo,08:20 22/10/2016,08:20 22/10/2016,,,,,,,
5,BA282,British Airways,LAX,Los Angeles,09:00 22/10/2016,08:23 22/10/2016,,,,,469,459,305
5,BA377,British Airways,TLS,Toulouse,08:25 22/10/2016,08:25 22/10/2016,,,,,168,,
2,LO281,LOT Polish Airlines,WAW,Warsaw,08:25 22/10/2016,08:25 22/10/2016,,,,,252,,
3,VS116,Virgin Atlantic Airways,ATL,Atlanta,09:00 22/10/2016,08:27 22/10/2016,,,,,266,157,10
5,BA094,British Airways,YUL,Montreal,08:35 22/10/2016,08:28 22/10/2016,,,,,214,206,128
2,TK1979,Turkish Airlines THY,IST,Istanbul,08:50 22/10/2016,08:28 22/10/2016,,,,,400,325,1
4,AI161,Air India,DEL,Delhi,06:30 22/10/2016,08:30 22/10/2016,,,,,256,136,14
2,UA110,United Airlines,EWR,Newark,05:45 22/10/2016,08:30 22/10/2016,,,,,214,162,45
5,BA228,British Airways,BWI,Baltimore,08:55 22/10/2016,08:33 22/10/2016,,,,,214,153,60
5,BA098,British Airways,YYZ,Toronto,08:50 22/10/2016,08:35 22/10/2016,,,,,219,200,103
2,SK525,SAS,ARN,Stockholm,08:35 22/10/2016,08:35 22/10/2016,,,,,,,
2,UA97,United Airlines,IAH,Houston,08:40 22/10/2016,08:35 22/10/2016,,,,,214,86,23
5,BA885,British Airways,OTP,Bucharest,09:05 22/10/2016,08:37 22/10/2016,,,,,193,128,51
5,BA631,British Airways,ATH,Athens,09:05 22/10/2016,08:38 22/10/2016,,,,,150,141,57
5,BA543,British Airways,BLQ,Bologna,08:40 22/10/2016,08:40 22/10/2016,,,,,168,,
2,LH902,Lufthansa,FRA,Frankfurt,08:40 22/10/2016,08:40 22/10/2016,,,,,,,
4,KM100,Air Malta,MLA,Malta,08:45 22/10/2016,08:44 22/10/2016,,,,,160,132,
3,BA865,British Airways,BUD,Budapest,08:45 22/10/2016,08:45 22/10/2016,,,,,168,,
2,LH2472,Lufthansa,MUC,Munich,08:45 22/10/2016,08:45 22/10/2016,,,,,,,
3,AA046,American Airlines,ORD,Chicago,08:05 22/10/2016,08:50 22/10/2016,,,,,310,234,82
4,AI172,Air India,EWR,Newark,09:15 22/10/2016,08:50 22/10/2016,,,,,256,156,5
5,IB3162,Iberia,MAD,Madrid,08:50 22/10/2016,08:50 22/10/2016,,,,,200,,
5,BA391,British Airways,BRU,Brussels,08:55 22/10/2016,08:55 22/10/2016,,,,,143,,
5,BA551,British Airways,FCO,Rome,08:55 22/10/2016,08:55 22/10/2016,,,,,205,,
3,VS002,Virgin Atlantic Airways,EWR,Newark,09:35 22/10/2016,08:56 22/10/2016,,,,,264,255,9
2,OU490,Croatia Airlines,ZAG,Zagreb,09:00 22/10/2016,09:00 22/10/2016,,,,,,,
5,BA068,British Airways,PHL,Philadelphia,09:05 22/10/2016,09:03 22/10/2016,,,,,226,207,107
5,BA202,British Airways,BOS,Boston,09:10 22/10/2016,09:05 22/10/2016,,,,,275,264,108
2,UA940,United Airlines,EWR,Newark,09:10 22/10/2016,09:07 22/10/2016,,,,,183,170,26
3,BA499,British Airways,LIS,Lisbon,09:10 22/10/2016,09:10 22/10/2016,,,,,168,,
2,AC888,Air Canada,YOW,Ottawa,09:25 22/10/2016,09:12 22/10/2016,,,,,211,157,
5,BA296,British Airways,ORD,Chicago,09:20 22/10/2016,09:15 22/10/2016,,,,,275,244,98
5,BA833,British Airways,DUB,Dublin,09:15 22/10/2016,09:15 22/10/2016,,,,,143,,
2,EI380,Aer Lingus,SNN,Shannon,09:15 22/10/2016,09:15 22/10/2016,,,,,,,
2,SN2093,Brussels Airlines,BRU,Brussels,09:15 22/10/2016,09:15 22/10/2016,,,,,,,
3,DL403,Delta Air Lines,JFK,New York,09:40 22/10/2016,09:16 22/10/2016,,,,,211,191,3
3,DL30,Delta Air Lines,ATL,Atlanta,10:00 22/10/2016,09:20 22/10/2016,,,,,246,180,5
2,TP354,TAP Portugal,LIS,Lisbon,09:20 22/10/2016,09:20 22/10/2016,,,,,,,
5,BA292,British Airways,IAD,Washington,09:40 22/10/2016,09:22 22/10/2016,,,,,226,207,85
5,BA146,British Airways,AMM,Amman,09:45 22/10/2016,09:23 22/10/2016,,,,,154,121,55
3,DL18,Delta Air Lines,DTW,Detroit,10:05 22/10/2016,09:24 22/10/2016,,,,,246,177,3
3,AA078,American Airlines,DFW,Dallas/Ft Worth,09:25 22/10/2016,09:25 22/10/2016,,,,,310,218,94
2,UA924,United Airlines,IAD,Washington,09:30 22/10/2016,09:25 22/10/2016,,,,,269,205,22
3,AA104,American Airlines,JFK,New York,09:30 22/10/2016,09:30 22/10/2016,,,,,247,217,74
4,AF1580,Air France,CDG,Paris (CdG),09:30 22/10/2016,09:30 22/10/2016,,,,,,,
5,IB3160,Iberia,MAD,Madrid,09:30 22/10/2016,09:30 22/10/2016,,,,,200,,
3,VS006,Virgin Atlantic Airways,MIA,Miami,10:10 22/10/2016,09:33 22/10/2016,,,,,308,226,40
5,BA182,British Airways,JFK,New York,10:00 22/10/2016,09:34 22/10/2016,,,,,337,323,156
5,BA284,British Airways,SFO,San Francisco,10:05 22/10/2016,09:35 22/10/2016,,,,,297,295,175
5,BA785,British Airways,ARN,Stockholm,09:35 22/10/2016,09:35 22/10/2016,,,,,168,,
5,BA162,British Airways,TLV,Tel Aviv,09:40 22/10/2016,09:38 22/10/2016,,,,,297,,
2,LH904,Lufthansa,FRA,Frankfurt,09:40 22/10/2016,09:40 22/10/2016,,,,,,,
5,BA429,British Airways,AMS,Amsterdam,09:45 22/10/2016,09:45 22/10/2016,,,,,168,,
2,AC858,Air Canada,YYZ,Toronto,10:05 22/10/2016,09:46 22/10/2016,,,,,251,239,42
2,UA938,United Airlines,ORD,Chicago,10:20 22/10/2016,09:49 22/10/2016,,,,,183,142,10
3,BA208,British Airways,MIA,Miami,09:20 22/10/2016,09:50 22/10/2016,,,,,469,439,311
3,BA270,British Airways,LAS,Las Vegas,10:15 22/10/2016,09:51 22/10/2016,,,,,337,319,198
5,BA307,British Airways,CDG,Paris (CdG),09:55 22/10/2016,09:55 22/10/2016,,,,,143,,
3,BA417,British Airways,LUX,Luxembourg,09:55 22/10/2016,09:55 22/10/2016,,,,,168,,
5,BA725,British Airways,GVA,Geneva,10:00 22/10/2016,10:00 22/10/2016,,,,,143,,
4,SU2576,Aeroflot Russian Airlines,SVO,Moscow,10:00 22/10/2016,10:00 22/10/2016,,,,,,,4
3,VS1207,Virgin Atlantic Airways,HKG,Hong Kong,04:30 22/10/2016,10:00 22/10/2016,,,,,264,,
3,ME201,Middle East Airlines,BEY,Beirut,10:15 22/10/2016,10:03 22/10/2016,,,,,126,104,47
5,BA333,British Airways,ORY,Paris (Orly),10:05 22/10/2016,10:05 22/10/2016,,,,,143,,
4,QR007,Qatar Airways,DOH,Doha,11:00 22/10/2016,10:09 22/10/2016,,,,,795,251,14
2,EI158,Aer Lingus,DUB,Dublin,10:10 22/10/2016,10:10 22/10/2016,,,,,,,
2,A3600,Aegean Airlines,ATH,Athens,10:15 22/10/2016,10:15 22/10/2016,,,,,,,
5,BA675,British Airways,IST,Istanbul,10:15 22/10/2016,10:15 22/10/2016,,,,,168,,
5,BA154,British Airways,CAI,Cairo,10:45 22/10/2016,10:16 22/10/2016,,,,,214,139,92
5,BA226,British Airways,ATL,Atlanta,10:20 22/10/2016,10:17 22/10/2016,,,,,226,181,76
3,AA038,American Airlines,MIA,Miami,10:00 22/10/2016,10:20 22/10/2016,,,,,310,253,201
5,BA711,British Airways,ZRH,Zurich,10:20 22/10/2016,10:20 22/10/2016,,,,,143,,
5,BA965,British Airways,HAM,Hamburg,10:20 22/10/2016,10:20 22/10/2016,,,,,168,,
5,BA252,British Airways,GCM,Grand Cayman,10:45 22/10/2016,10:22 22/10/2016,,,,,275,242,103
5,BA152,British Airways,IKA,Tehran,10:10 22/10/2016,10:23 22/10/2016,,,,,219,121,28
5,BA196,British Airways,IAH,Houston,10:45 22/10/2016,10:23 22/10/2016,,,,,219,203,121
3,VS020,Virgin Atlantic Airways,SFO,San Francisco,11:05 22/10/2016,10:23 22/10/2016,,,,,264,241,32
5,BA937,British Airways,DUS,Dusseldorf,10:25 22/10/2016,10:25 22/10/2016,,,,,143,,
2,LX318,Swiss,ZRH,Zurich,10:25 22/10/2016,10:25 22/10/2016,,,,,,,
2,SK501,SAS,CPH,Copenhagen,10:25 22/10/2016,10:25 22/10/2016,,,,,,,
2,AC854,Air Canada,YVR,Vancouver,10:40 22/10/2016,10:27 22/10/2016,,,,,450,205,47
2,EW1462,Eurowings,DUS,Dusseldorf,10:30 22/10/2016,10:30 22/10/2016,,,,,,,
2,NZ002,Air New Zealand,AKL,Auckland,10:30 22/10/2016,10:30 22/10/2016,,,,,332,287,50
5,BA148,British Airways,BEY,Beirut,11:00 22/10/2016,10:34 22/10/2016,,,,,154,132,
3,BA218,British Airways,DEN,Denver,10:35 22/10/2016,10:35 22/10/2016,,,,,337,224,130
3,BA473,British Airways,BCN,Barcelona,10:35 22/10/2016,10:35 22/10/2016,,,,,168,,
5,BA813,British Airways,CPH,Copenhagen,10:35 22/10/2016,10:35 22/10/2016,,,,,143,,
3,VS008,Virgin Atlantic Airways,LAX,Los Angeles,11:20 22/10/2016,10:36 22/10/2016,,,,,264,256,23
2,UA5,United Airlines,IAH,Houston,11:05 22/10/2016,10:37 22/10/2016,,,,,214,117,24
3,DL10,Delta Air Lines,MSP,Minneapolis,11:15 22/10/2016,10:39 22/10/2016,,,,,246,183,3
5,BA949,British Airways,MUC,Munich,10:40 22/10/2016,10:40 22/10/2016,,,,,168,,
4,KL1009,KLM Royal Dutch Airlines,AMS,Amsterdam,10:40 22/10/2016,10:40 22/10/2016,,,,,,,
5,BA036,British Airways,MAA,Chennai,10:50 22/10/2016,10:42 22/10/2016,,,,,214,135,75
2,FI450,Icelandair,KEF,Reykjavik,10:45 22/10/2016,10:45 22/10/2016,,,,,,,
5,BA903,British Airways,FRA,Frankfurt,10:50 22/10/2016,10:50 22/10/2016,,,,,259,,
2,OS453,Austrian,VIE,Vienna,10:50 22/10/2016,10:50 22/10/2016,,,,,,,
4,AI131,Air India,BOM,Mumbai,10:30 22/10/2016,11:00 22/10/2016,,,,,256,145,2
5,BA431,British Airways,AMS,Amsterdam,11:00 22/10/2016,11:00 22/10/2016,,,,,205,,
5,BA977,British Airways,HAJ,Hanover,11:00 22/10/2016,11:00 22/10/2016,,,,,143,,
3,AA098,American Airlines,ORD,Chicago,11:05 22/10/2016,11:05 22/10/2016,,,,,247,187,106
3,EK001,Emirates Airline,DXB,Dubai,11:15 22/10/2016,11:05 22/10/2016,,,,,517,451,3
4,SU2578,Aeroflot Russian Airlines,SVO,Moscow,11:05 22/10/2016,11:05 22/10/2016,,,,,,,
5,BA373,British Airways,TLS,Toulouse,11:10 22/10/2016,11:10 22/10/2016,,,,,132,,
5,BA805,British Airways,BLL,Billund,11:10 22/10/2016,11:10 22/10/2016,,,,,168,,
5,BA919,British Airways,STR,Stuttgart,11:10 22/10/2016,11:10 22/10/2016,,,,,168,,
3,BA367,British Airways,MRS,Marseille,11:15 22/10/2016,11:15 22/10/2016,,,,,168,,
5,BA457,British Airways,MAD,Madrid,11:15 22/10/2016,11:15 22/10/2016,,,,,259,,
2,UA923,United Airlines,LAX,Los Angeles,11:20 22/10/2016,11:16 22/10/2016,,,,,269,158,55
4,EY019,Etihad Airways,AUH,Abu Dhabi,12:05 22/10/2016,11:25 22/10/2016,,,,,496,385,15
5,BA048,British Airways,SEA,Seattle,11:25 22/10/2016,11:28 22/10/2016,,,,,297,286,186
5,BA791,British Airways,GOT,Gothenburg,11:30 22/10/2016,11:30 22/10/2016,,,,,143,,
3,BA855,British Airways,PRG,Prague,11:30 22/10/2016,11:30 22/10/2016,,,,,168,,
4,JU380,Air Serbia,BEG,Belgrade,11:30 22/10/2016,11:30 22/10/2016,,,,,,,
4,AM007,Aeromexico,MEX,Mexico City,11:10 22/10/2016,11:33 22/10/2016,,,,,243,179,13
5,BA565,British Airways,LIN,Milan (Linate),11:35 22/10/2016,11:35 22/10/2016,,,,,143,,
4,QR003,Qatar Airways,DOH,Doha,12:15 22/10/2016,11:35 22/10/2016,,,,,517,312,7
5,BA132,British Airways,JED,Jeddah,11:50 22/10/2016,11:38 22/10/2016,,,,,216,23,14
3,DL50,Delta Air Lines,SLC,Salt Lake City,12:00 22/10/2016,11:38 22/10/2016,,,,,211,104,
5,BA727,British Airways,GVA,Geneva,11:40 22/10/2016,11:40 22/10/2016,,,,,143,,
5,BA753,British Airways,BSL,Basel,11:40 22/10/2016,11:40 22/10/2016,,,,,143,,
2,EI162,Aer Lingus,DUB,Dublin,11:40 22/10/2016,11:40 22/10/2016,,,,,,,
2,LH906,Lufthansa,FRA,Frankfurt,11:40 22/10/2016,11:40 22/10/2016,,,,,,,
2,TK1989,Turkish Airlines THY,IST,Istanbul,11:40 22/10/2016,11:40 22/10/2016,,,,,,,
3,AA108,American Airlines,LAX,Los Angeles,11:25 22/10/2016,11:45 22/10/2016,,,,,310,273,128
5,BA573,British Airways,MXP,Milan(Malpensa),11:45 22/10/2016,11:45 22/10/2016,,,,,143,,
5,BA757,British Airways,BGO,Bergen,11:45 22/10/2016,11:45 22/10/2016,,,,,143,,
2,TP352,TAP Portugal,LIS,Lisbon,11:45 22/10/2016,11:45 22/10/2016,,,,,,,
2,LH2474,Lufthansa,MUC,Munich,11:50 22/10/2016,11:50 22/10/2016,,,,,,,
2,SK531,SAS,ARN,Stockholm,11:50 22/10/2016,11:50 22/10/2016,,,,,,,
5,BA118,British Airways,BLR,Bengaluru,12:05 22/10/2016,11:55 22/10/2016,,,,,275,231,139
5,BA745,British Airways,SVG,Stavanger,11:55 22/10/2016,11:55 22/10/2016,,,,,143,,
2,UA16,United Airlines,EWR,Newark,08:20 22/10/2016,11:56 22/10/2016,,,,,169,149,23
5,BA276,British Airways,HYD,Hyderabad,12:10 22/10/2016,11:58 22/10/2016,,,,,214,156,105
5,BA248,British Airways,GIG,Rio de Janeiro,12:00 22/10/2016,12:00 22/10/2016,,,,,219,197,78
3,BA479,British Airways,BCN,Barcelona,12:00 22/10/2016,12:00 22/10/2016,,,,,168,,
2,LX332,Swiss,ZRH,Zurich,12:00 22/10/2016,12:00 22/10/2016,,,,,,,
2,EI712,Aer Lingus,ORK,Cork,12:05 22/10/2016,12:05 22/10/2016,,,,,,,
2,SK503,SAS,CPH,Copenhagen,12:05 22/10/2016,12:05 22/10/2016,,,,,,,
5,BA156,British Airways,KWI,Kuwait,12:15 22/10/2016,12:07 22/10/2016,,,,,275,,
3,BA288,British Airways,PHX,Phoenix,12:20 22/10/2016,12:08 22/10/2016,,,,,337,322,226
5,BA343,British Airways,NCE,Nice,12:10 22/10/2016,12:10 22/10/2016,,,,,154,,
5,BA827,British Airways,DUB,Dublin,12:10 22/10/2016,12:10 22/10/2016,,,,,143,,
3,AA080,American Airlines,DFW,Dallas/Ft Worth,12:15 22/10/2016,12:15 22/10/2016,,,,,247,226,
5,BA286,British Airways,SFO,San Francisco,12:40 22/10/2016,12:15 22/10/2016,,,,,469,455,309
5,BA459,British Airways,MAD,Madrid,12:20 22/10/2016,12:20 22/10/2016,,,,,168,,
5,BA763,British Airways,OSL,Oslo,12:20 22/10/2016,12:20 22/10/2016,,,,,154,,
5,BA032,British Airways,HKG,Hong Kong,03:50 22/10/2016,12:21 22/10/2016,,,,,469,286,79
5,BA008,British Airways,HND,Tokyo (Haneda),12:05 22/10/2016,12:23 22/10/2016,,,,,297,291,117
3,BA467,British Airways,BIO,Bilbao,12:25 22/10/2016,12:25 22/10/2016,,,,,168,,
