Term,Flight No,Operator,From,Airport name,Scheduled,Estimated,Touchdown,Est Chocks,Act Chocks,Stand,Max pax,Act Pax,Conn pax
4,CZ303,China Southern Airlines,CAN,Guangzhou,14:05 22/10/2016,14:02 22/10/2016,,,,,228,130,1
2,EI166,Aer Lingus,DUB,Dublin,14:05 22/10/2016,14:05 22/10/2016,,,,,,,
3,AY839,Finnair,HEL,Helsinki,14:10 22/10/2016,14:10 22/10/2016,,,,,,,
3,JJ8084,LATAM Airlines Brazil,GRU,Sao Paulo,14:15 22/10/2016,14:15 22/10/2016,,,,,379,356,44
5,BA435,British Airways,AMS,Amsterdam,14:20 22/10/2016,14:20 22/10/2016,,,,,226,,
4,GF003,Gulf Air,BAH,Bahrain,14:20 22/10/2016,14:20 22/10/2016,,,,,,,
5,BA575,British Airways,LIN,Milan (Linate),14:25 22/10/2016,14:25 22/10/2016,,,,,143,,
5,BA905,British Airways,FRA,Frankfurt,14:25 22/10/2016,14:25 22/10/2016,,,,,168,,
3,RJ111,Royal Jordanian,AMM,Amman,14:25 22/10/2016,14:25 22/10/2016,,,,,,,
2,A3602,Aegean Airlines,ATH,Athens,14:30 22/10/2016,14:30 22/10/2016,,,,,,,
5,BA639,British Airways,ATH,Athens,14:30 22/10/2016,14:30 22/10/2016,,,,,168,,
5,BA829,British Airways,DUB,Dublin,14:30 22/10/2016,14:30 22/10/2016,,,,,168,,
5,BA256,British Airways,DEL,Delhi,14:10 22/10/2016,14:34 22/10/2016,,,,,216,205,86
5,BA993,British Airways,TXL,Berlin,14:35 22/10/2016,14:35 22/10/2016,,,,,143,,
2,LH910,Lufthansa,FRA,Frankfurt,14:40 22/10/2016,14:40 22/10/2016,,,,,,,
5,BA268,British Airways,LAX,Los Angeles,15:00 22/10/2016,14:44 22/10/2016,,,,,469,438,320
3,BA274,British Airways,LAS,Las Vegas,14:30 22/10/2016,14:44 22/10/2016,,,,,337,322,261
2,AV120,Avianca,BOG,Bogota,14:45 22/10/2016,14:45 22/10/2016,,,,,250,198,28
