work,mindesks,maxdesks
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.5454545454545456,0,5
0.5454545454545456,0,5
0.5454545454545456,0,5
0.3272727272727274,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
16.72897196261682,0,7
16.72897196261682,0,7
16.72897196261682,0,7
16.72897196261682,0,7
16.72897196261682,0,7
3.345794392523364,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,7
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
0.0,0,5
